Country,Year,Co2,Co2_per_capita,Gdp,Gdp_per_capita,Coal_co2,Cement_co2,Flaring_co2,Gas_co2,Oil_co2,Coal_co2_per_capita,Cement_co2_per_capita,Flaring_co2_per_capita,Gas_co2_per_capita,Oil_co2_per_capita,Cumulative_co2,Cumulative_coal_co2,Cumulative_cement_co2,Cumulative_flaring_co2,Cumulative_gas_co2,Cumulative_oil_co2,Annual_co2_fossil_cement,Co2_per_gdp,Consumption_co2_per_gdp,Consumption_co2,Consumption_co2_per_capita
Russia,1971,2503944.944,19.09149437,,,716498170,29731883,13181311.0,250649750.0,515812806,5.4765,0.2273,0.1008,1.9158,3.9426,26550897863.0,16804968763.0,359499873,13181311.0,2242369445.0,7130878484.0,1525873920,1.2177,,,
United States,1971,4356770.034,20.98020348,1164850000000.0,5609.3826,1107406428,35291250,15260547.0,1096927397.0,2097304811,5.2388,0.167,0.0722,5.1893,9.9218,158684179521.0,91449888080.0,946415158,692605961.0,18817345233.0,46455771898.0,4365246732,0.8617,,,
India,1972,217849.136,0.374899181,71463193830.0,122.9818641,134568224,7363109,1212804.0,1205476.0,58877807,0.2316,0.0127,0.0021,0.0021,0.1013,4773335767.0,3945363489.0,108721983,10376495.0,6089595.0,702784205.0,203227421,0.2697,,,
Japan,1972,853373.239,7.961462468,318031000000.0,2967.041996,200215616,32529752,76944.0,7983856.0,611364048,1.8543,0.3013,0.0007,0.0739,5.662,11942220679.0,7430537264.0,360670949,157552.0,64867310.0,4085987601.0,852170216,0.4647,,,
Russia,1972,2634955.853,19.97555779,,,738426261,30598216,12604734.0,263619800.0,560161934,5.6137,0.2326,0.0958,2.0041,4.2585,28156308808.0,17543395024.0,390098089,25786045.0,2505989245.0,7691040418.0,1605410945,1.2451,,,
United States,1972,4564952.958,21.74864198,1279110000000.0,6094.01799,1124840672,36298731,13307648.0,1115673344.0,2269173824,5.2743,0.1702,0.0624,5.2313,10.6399,163256970140.0,92574728752.0,982713889,705913609.0,19933018577.0,48724945722.0,4572790619,0.8572,,,
India,1973,224343.393,0.377193439,85515269586.0,143.7786876,138005218,6920663,1447280.0,1168816.0,61749392,0.232,0.0116,0.0024,0.002,0.1038,4982627136.0,4083368707.0,115642646,11823775.0,7258411.0,764533597.0,209291369,0.2653,,,
Japan,1973,915748.909,8.424010496,432083000000.0,3974.745605,214385162,38191966,80608.0,10581674.0,651025791,1.9573,0.3487,0.0007,0.0966,5.9439,12856485881.0,7644922426.0,398862915,238160.0,75448984.0,4737013392.0,914265202,0.4614,,,
Russia,1973,2746751.682,20.70379427,,,746022243,31798609,14986870.0,278595707.0,601805800,5.6399,0.2404,0.1133,2.1062,4.5496,29829518036.0,18289417267.0,421896698,40772915.0,2784584952.0,8292846218.0,1673209228,1.2031,,,
United States,1973,4770194.948,22.51058213,1425380000000.0,6726.358956,1212439482,36689875,13186736.0,1105199518.0,2403224000,5.6346,0.1705,0.0613,5.1362,11.1685,168041792951.0,93787168234.0,1019403764,719100345.0,21038218095.0,51128169722.0,4784822811,0.8488,,,
India,1974,231992.755,0.381064005,99525899116.0,163.4781125,145846461,6500907,1725744.0,1359344.0,60628208,0.2396,0.0107,0.0028,0.0022,0.0996,5198687799.0,4229215168.0,122143553,13549519.0,8617755.0,825161805.0,216060663,0.2711,,,
Japan,1974,915873.587,8.313879441,479626000000.0,4353.824355,229190528,35613054,62288.0,14161360.0,635278976,2.0644,0.3208,0.0006,0.1276,5.7221,13770792087.0,7874112954.0,434475969,300448.0,89610344.0,5372292368.0,914306206,0.4672,,,
Russia,1974,2851891.906,21.373373,,,747540873,33098260,16443663.0,295209280.0,644628874,5.6192,0.2488,0.1236,2.2191,4.8457,31566438986.0,19036958140.0,454994958,57216578.0,3079794232.0,8937475092.0,1736920950,1.2057,,,
United States,1974,4598487.673,21.50293038,1545240000000.0,7225.69136,1199596977,36579815,8899856.0,1055085105.0,2306281918,5.5252,0.1685,0.041,4.8596,10.6224,172662613222.0,94986765211.0,1055983579,728000201.0,22093303200.0,53434451640.0,4620820271,0.822,,,
India,1975,252201.592,0.404751113,98472796457.0,158.036171,161567814,7288268,2011565.0,1733097.0,61838227,0.2593,0.0117,0.0032,0.0028,0.0992,5433126770.0,4390782982.0,129431821,15561084.0,10350852.0,887000032.0,234438971,0.2701,,,
Japan,1975,870072.757,7.79823754,521542000000.0,4674.445481,213421571,31796187,109920.0,17154920.0,606028154,1.8985,0.2829,0.001,0.1526,5.3911,14639302840.0,8087534525.0,466272156,410368.0,106765264.0,5978320522.0,868510753,0.4305,,,
Russia,1975,2998311.549,22.34211288,,,769737342,34725565,18255365.0,321958384.0,681078293,5.7527,0.2595,0.1364,2.4062,5.0901,33392193935.0,19806695482.0,489720523,75471943.0,3401752616.0,9618553385.0,1825754949,1.2178,,,
United States,1975,4406329.539,20.40222407,1684900000000.0,7801.456664,1168057073,30275759,7111824.0,992428427.0,2267402500,5.3316,0.1382,0.0325,4.53,10.3496,177140651705.0,96154822284.0,1086259338,735112025.0,23085731627.0,55701854140.0,4478038483,0.7988,,,
India,1976,263785.645,0.413696987,102717000000.0,161.0920922,169161047,8279466,1817344.0,2293664.0,63438496,0.2653,0.013,0.0029,0.0036,0.0995,5678116787.0,4559944029.0,137711287,17378428.0,12644516.0,950438528.0,244990017,0.2789,,,
Japan,1976,908902.62,8.059433562,586162000000.0,5197.622337,208382672,33225585,91600.0,20683280.0,644761408,1.8331,0.2923,0.0008,0.1819,5.6718,15546447385.0,8295917197.0,499497741,501968.0,127448544.0,6623081930.0,907144545,0.4325,,,
Russia,1976,3113979.73,23.04142696,,,789861060,35140921,20257280.0,353763809.0,697049594,5.8684,0.2611,0.1505,2.6283,5.1788,35288266599.0,20596556542.0,524861444,95729223.0,3755516425.0,10315602979.0,1896072664,1.2268,,,
United States,1976,4613100.668,21.15761537,1873410000000.0,8592.253537,1309642126,32170821,7338992.0,1021939028.0,2362975846,5.9237,0.1455,0.0332,4.6224,10.688,181888214918.0,97464464410.0,1118430159,742451017.0,24107670655.0,58064829986.0,4747563213,0.8047,,,
India,1977,279051.366,0.427724734,121487000000.0,186.2135042,177762512,8322332,2092144.0,2480528.0,68557104,0.2725,0.0128,0.0032,0.0038,0.1051,5937331407.0,4737706541.0,146033619,19470572.0,15125044.0,1018995632.0,259214620,0.2737,,,
Japan,1977,935213.345,8.212847276,721412000000.0,6335.286871,204520014,35235111,102592.0,24684271.0,668695698,1.7811,0.3069,0.0009,0.215,5.8235,16479685071.0,8500437211.0,534732852,604560.0,152132815.0,7291777628.0,933237686,0.4262,,,
Russia,1977,3220146.714,23.6601522,,,802295849,35725459,21861974.0,379203062.0,721478743,5.9248,0.2638,0.1614,2.8003,5.328,37248831686.0,21398852391.0,560586903,117591197.0,4134719487.0,11037081722.0,1960565087,1.2306,,,
United States,1977,4742292.745,21.53248401,2081830000000.0,9452.576519,1327837029,33769802,7262048.0,991627084.0,2515625887,5.9508,0.1513,0.0325,4.4441,11.274,186777613118.0,98792301439.0,1152199961,749713065.0,25099297739.0,60580455873.0,4889398200,0.7928,,,
India,1978,283096.067,0.424114076,137300000000.0,205.6933833,174937407,8420936,1982224.0,2740672.0,75317184,0.2621,0.0126,0.003,0.0041,0.1128,6200729830.0,4912643948.0,154454555,21452796.0,17865716.0,1094312816.0,263398423,0.2639,,,
Japan,1978,903886.164,7.865830359,1013610000000.0,8820.691945,174739115,40740439,102592.0,34503748.0,651504189,1.5079,0.3516,0.0009,0.2978,5.6223,17381275154.0,8675176326.0,575473291,707152.0,186636563.0,7943281817.0,901590083,0.3911,,,
Russia,1978,3330904.782,24.30253015,,,797600462,35483309,23490257.0,397687904.0,773631879,5.8535,0.2604,0.1724,2.9186,5.6776,39276725497.0,22196452853.0,596070212,141081454.0,4532407391.0,11810713601.0,2027893811,1.2491,,,
United States,1978,4890861.25,21.97300469,2351600000000.0,10564.94822,1379717077,35396646,8123094.0,989136587.0,2515199337,6.126,0.1572,0.0361,4.3918,11.1676,191718755608.0,100172018516.0,1187596607,757836159.0,26088434326.0,63095655210.0,4941142490,0.758,,,
India,1979,296891.321,0.434690107,152992000000.0,224.0010188,180879755,7751954,2216720.0,3030128.0,82663504,0.2648,0.0113,0.0032,0.0044,0.121,6477271891.0,5093523703.0,162206509,23669516.0,20895844.0,1176976320.0,276542061,0.2919,,,
Japan,1979,955620.2,8.245924584,1055010000000.0,9103.564756,190938368,41984767,98928.0,40890240.0,679159040,1.6338,0.3593,0.0008,0.3499,5.8114,18334346497.0,8866114694.0,617458058,806080.0,227526803.0,8622440857.0,953071343,0.392,,,
Russia,1979,3358623.635,24.33309161,,,798154840,34175890,12731255.0,422937746.0,776713588,5.82,0.2492,0.0928,3.084,5.6637,41321438816.0,22994607693.0,630246102,153812709.0,4955345137.0,12587427189.0,2044713319,1.2471,,,
United States,1979,4901796.244,21.78043698,2627330000000.0,11674.18187,1443848157,35719228,8866880.0,1035888005.0,2470099838,6.3511,0.1571,0.039,4.5566,10.8653,196727114216.0,101615866673.0,1223315835,766703039.0,27124322331.0,65565755048.0,5008358608,0.7431,,,
India,1980,314016.211,0.449266666,186325000000.0,266.5778508,197617921,7544839,1165152.0,2487856.0,83176464,0.2827,0.0108,0.0017,0.0036,0.119,6769264123.0,5291141624.0,169751348,24834668.0,23383700.0,1260152784.0,291992232,0.2876,,,
Japan,1980,947571.135,8.112280386,1105390000000.0,9463.353855,224299088,41901414,76944.0,47932448.0,630658672,1.9038,0.3556,0.0007,0.4068,5.3529,19279215063.0,9090413782.0,659359472,883024.0,275459251.0,9253099529.0,944868566,0.3779,,,
Russia,1980,3491017.003,25.11342352,,,841148142,34526931,12772837.0,441490281.0,795226968,6.0929,0.2501,0.0925,3.198,5.7603,43446603974.0,23835755835.0,664773033,166585546.0,5396835418.0,13382654157.0,2125165158,1.2524,,,
United States,1980,4723209.677,20.78648774,2857310000000.0,12574.79151,1484465894,32719097,6690464.0,1017996105.0,2253808001,6.4689,0.1426,0.0292,4.4362,9.8215,201535409977.0,103100332567.0,1256034932,773393503.0,28142318436.0,67819563049.0,4808295761,0.7131,,,
